03/09/23 02:19:56   INFO     ||| emotion_classification_training_evaluation ||| Loading a pre-trained model from plots/all_emotions/crema_d_xxx
03/09/23 02:19:57   INFO     ||| emotion_classification_training_evaluation ||| Model summary:
03/09/23 02:19:57   INFO     ||| emotion_classification_training_evaluation ||| Loading train, validation and test sets from /mnt/e/My programms/Python Programs/Polly's Master Paper/plots/all_emotions
03/09/23 02:20:13   INFO     ||| emotion_classification_training_evaluation ||| Evaluating the model on the training set
03/09/23 02:20:13   INFO     ||| emotion_classification_training_evaluation ||| Starting the evaluation process on 17860 samples
03/09/23 02:20:19   INFO     ||| emotion_classification_training_evaluation ||| Finished the evaluation process. Training Loss = 0.06709541380405426. Training Accuracy = 0.992833137512207
03/09/23 02:20:19   INFO     ||| emotion_classification_training_evaluation ||| Evaluating the model on the validation set
03/09/23 02:20:19   INFO     ||| emotion_classification_training_evaluation ||| Starting the evaluation process on 5954 samples
03/09/23 02:20:19   INFO     ||| emotion_classification_training_evaluation ||| Finished the evaluation process. Validation Loss = 0.9356083273887634. Validation Accuracy = 0.7430298924446106
03/09/23 02:20:19   INFO     ||| emotion_classification_training_evaluation ||| Evaluating the model on the test set
03/09/23 02:20:19   INFO     ||| emotion_classification_training_evaluation ||| Starting the evaluation process on 5954 samples
03/09/23 02:20:20   INFO     ||| emotion_classification_training_evaluation ||| Finished the evaluation process. Test Loss = 0.973128616809845. Test Accuracy = 0.7363117337226868
03/09/23 02:20:20   INFO     ||| emotion_classification_training_evaluation ||| Removing training, validation and test sets
03/09/23 02:20:21   INFO     ||| emotion_classification_training_evaluation ||| Summary: 0 warning, 0 errors
